timestamp	pitch	roll	yaw	vgx	vgy	vgz	templ	temph	tof	h	bat	baro	time	agx	agy	agz	
8.0	0.0	10.0	-4.0	-1.0	0.0	67.0	70.0	294.0	290.0	60.0	970.21	173.0	117.0	-22.0	-1006.0	1636887601.530158	
8.0	0.0	10.0	-4.0	-1.0	0.0	67.0	70.0	294.0	290.0	60.0	970.21	173.0	117.0	-22.0	-1006.0	1636887601.530158	
8.0	0.0	9.0	-4.0	-1.0	0.0	67.0	70.0	288.0	290.0	60.0	970.02	174.0	127.0	-36.0	-984.0	1636887601.633	
8.0	0.0	9.0	-5.0	-1.0	0.0	67.0	70.0	292.0	290.0	60.0	970.11	174.0	118.0	-21.0	-997.0	1636887601.736488	
8.0	0.0	9.0	-5.0	-1.0	0.0	67.0	70.0	290.0	290.0	60.0	970.17	174.0	120.0	-21.0	-990.0	1636887601.838657	
8.0	0.0	9.0	-5.0	-1.0	0.0	67.0	70.0	292.0	290.0	60.0	970.14	174.0	137.0	-35.0	-988.0	1636887601.941098	
8.0	0.0	9.0	-5.0	-2.0	0.0	67.0	70.0	299.0	290.0	60.0	970.0	174.0	106.0	-9.0	-1007.0	1636887602.041057	
8.0	0.0	9.0	-6.0	-2.0	0.0	67.0	70.0	289.0	290.0	60.0	970.14	174.0	121.0	-15.0	-990.0	1636887602.142456	
8.0	0.0	9.0	-6.0	-2.0	0.0	67.0	70.0	290.0	290.0	60.0	970.09	174.0	151.0	-38.0	-988.0	1636887602.244923	
8.0	1.0	9.0	-6.0	-2.0	0.0	67.0	70.0	288.0	290.0	60.0	970.13	174.0	144.0	-31.0	-984.0	1636887602.346595	
8.0	1.0	10.0	-6.0	-2.0	0.0	68.0	70.0	291.0	290.0	60.0	970.13	174.0	137.0	-38.0	-995.0	1636887602.449332	
8.0	2.0	10.0	-6.0	-2.0	0.0	68.0	70.0	286.0	290.0	60.0	970.03	174.0	136.0	-24.0	-993.0	1636887602.551152	
8.0	3.0	10.0	-6.0	-2.0	0.0	68.0	70.0	289.0	290.0	60.0	969.94	175.0	155.0	-18.0	-1008.0	1636887602.654513	
8.0	3.0	10.0	-6.0	-2.0	0.0	68.0	70.0	290.0	290.0	60.0	969.94	175.0	168.0	-22.0	-984.0	1636887602.756162	
7.0	3.0	10.0	-6.0	-1.0	0.0	68.0	70.0	291.0	290.0	60.0	969.99	175.0	140.0	-18.0	-1002.0	1636887602.85618	
5.0	1.0	9.0	-6.0	-1.0	0.0	68.0	70.0	286.0	290.0	60.0	970.02	175.0	147.0	-21.0	-1003.0	1636887602.96022	
4.0	1.0	9.0	-6.0	-1.0	0.0	68.0	70.0	284.0	290.0	60.0	970.02	175.0	136.0	-24.0	-1004.0	1636887603.062104	
8.0	1.0	9.0	-5.0	-1.0	0.0	68.0	70.0	291.0	290.0	60.0	970.18	175.0	143.0	-39.0	-974.0	1636887603.112279	
9.0	0.0	9.0	-6.0	-1.0	0.0	68.0	70.0	297.0	290.0	60.0	970.12	175.0	146.0	-35.0	-994.0	1636887603.215835	
9.0	0.0	9.0	-6.0	-1.0	0.0	68.0	70.0	294.0	290.0	60.0	970.14	175.0	156.0	-49.0	-989.0	1636887603.315968	
9.0	1.0	10.0	-6.0	-2.0	0.0	67.0	69.0	300.0	290.0	60.0	970.2	175.0	140.0	-32.0	-999.0	1636887603.41663	
8.0	2.0	10.0	-6.0	-2.0	0.0	67.0	69.0	293.0	290.0	60.0	970.14	175.0	141.0	-55.0	-992.0	1636887603.520252	
8.0	2.0	10.0	-7.0	-2.0	0.0	67.0	69.0	294.0	290.0	60.0	970.14	176.0	154.0	-56.0	-977.0	1636887603.623076	
8.0	3.0	10.0	-7.0	-2.0	0.0	67.0	69.0	297.0	290.0	60.0	970.02	176.0	142.0	-50.0	-971.0	1636887603.725254	
7.0	4.0	10.0	-7.0	-2.0	0.0	67.0	69.0	291.0	290.0	60.0	970.0	176.0	149.0	-42.0	-967.0	1636887603.824178	
4.0	3.0	10.0	-6.0	-2.0	0.0	67.0	69.0	290.0	290.0	60.0	970.01	176.0	157.0	-51.0	-977.0	1636887603.929414	
4.0	3.0	10.0	-6.0	-1.0	0.0	67.0	69.0	287.0	290.0	60.0	970.16	176.0	143.0	-58.0	-980.0	1636887604.031376	
