pitch	roll	yaw	vgx	vgy	vgz	templ	temph	tof	h	bat	baro	time	agx	agy	agz	timestamp
1.0	0.0	10.0	0.0	0.0	0.0	77.0	80.0	10.0	0.0	69.0	968.05	109.0	35.0	6.0	-999.0	1636887353.106315
1.0	0.0	10.0	0.0	0.0	0.0	77.0	80.0	10.0	0.0	69.0	968.05	109.0	35.0	6.0	-999.0	1636887353.152402
1.0	0.0	10.0	0.0	0.0	0.0	77.0	80.0	10.0	0.0	69.0	968.02	109.0	34.0	6.0	-996.0	1636887353.152402
1.0	0.0	10.0	0.0	0.0	0.0	77.0	80.0	10.0	0.0	69.0	968.05	109.0	35.0	7.0	-999.0	1636887353.253186
1.0	0.0	10.0	0.0	0.0	0.0	77.0	80.0	10.0	0.0	69.0	968.02	109.0	32.0	6.0	-1000.0	1636887353.355551
1.0	0.0	10.0	0.0	0.0	0.0	77.0	80.0	10.0	0.0	69.0	968.03	109.0	33.0	7.0	-999.0	1636887353.457385
1.0	0.0	10.0	0.0	0.0	0.0	77.0	80.0	10.0	0.0	69.0	968.03	109.0	35.0	7.0	-999.0	1636887353.559038
1.0	0.0	10.0	0.0	0.0	0.0	77.0	80.0	10.0	0.0	69.0	968.03	109.0	34.0	4.0	-997.0	1636887353.65975
1.0	0.0	10.0	0.0	0.0	0.0	77.0	80.0	10.0	0.0	69.0	968.03	109.0	34.0	6.0	-1001.0	1636887353.764765
1.0	0.0	10.0	0.0	0.0	0.0	77.0	80.0	10.0	0.0	69.0	968.04	109.0	35.0	7.0	-1000.0	1636887353.865062
1.0	0.0	10.0	0.0	0.0	0.0	77.0	80.0	10.0	0.0	69.0	968.06	109.0	34.0	6.0	-997.0	1636887353.968237
1.0	0.0	10.0	0.0	0.0	0.0	77.0	80.0	10.0	0.0	69.0	968.04	109.0	33.0	7.0	-998.0	1636887354.070801
1.0	0.0	10.0	0.0	0.0	0.0	77.0	80.0	10.0	0.0	69.0	968.02	109.0	36.0	7.0	-998.0	1636887354.16956
1.0	0.0	10.0	0.0	0.0	0.0	77.0	80.0	10.0	0.0	69.0	968.04	109.0	34.0	7.0	-1000.0	1636887354.271781
1.0	0.0	10.0	0.0	0.0	0.0	77.0	80.0	10.0	0.0	69.0	968.02	109.0	34.0	8.0	-997.0	1636887354.373999
