agz	pitch	roll	yaw	vgx	vgy	vgz	templ	temph	tof	h	bat	baro	time	agx	agy	timestamp
-7	3	-8	1	-1	1	64	67	222	220	14	974.25	50	-23	-29	-1071	1634988046.63751
-5	3	-8	2	0	0	63	67	225	210	14	974.25	50	-23	-34	-1021	1634988046.78585
-2	3	-8	2	0	0	63	67	216	210	14	974.3	50	-34	-63	-997	1634988046.88148
-1	2	-8	2	0	0	63	67	216	210	14	974.32	50	-41	-20	-1075	1634988046.99234
-2	2	-8	2	0	0	63	67	213	210	14	974.24	50	-19	-49	-1072	1634988047.09121
-9	2	-8	2	0	0	63	67	214	210	14	974.18	50	-9	-39	-1028	1634988047.14125
-8	3	-8	3	0	0	63	67	218	210	14	974.28	50	-29	-35	-1038	1634988047.23658
-5	3	-8	5	0	0	63	67	214	210	14	974.13	51	-41	-28	-1050	1634988047.34105
-1	1	-8	5	0	-1	63	67	216	210	14	974.08	51	-41	-76	-1023	1634988047.44483
0	2	-7	5	0	-1	63	67	220	210	13	974.22	51	-52	4	-1067	1634988047.55798
0	3	-7	4	0	-1	63	67	220	210	13	974.26	51	-57	-1	-998	1634988047.64611
0	2	-7	4	0	-1	65	67	224	210	13	974.32	51	-66	42	-996	1634988047.76182
0	0	-7	3	0	-1	65	67	230	210	13	974.34	51	18	-13	-1024	1634988047.86425
0	0	-7	2	0	-1	65	67	236	210	13	974.35	51	-9	-11	-994	1634988047.96602
0	1	-7	2	0	-1	65	67	236	210	13	974.31	51	-15	-25	-960	1634988048.06115
-7	0	-7	2	0	-2	65	67	242	220	13	974.24	51	-14	-3	-924	1634988048.15819
-6	0	-7	3	0	-2	65	67	242	220	13	974.39	51	-56	16	-973	1634988048.26751
-1	1	-7	4	0	-2	65	67	250	220	13	974.47	52	-48	-11	-1007	1634988048.367
0	0	-7	4	0	-1	65	67	255	220	13	974.47	52	-29	-5	-965	1634988048.46254
0	0	-7	4	0	-1	65	67	251	220	13	974.62	52	-43	10	-959	1634988048.57794
0	0	-6	3	0	-1	65	67	260	230	13	974.64	52	-12	-4	-923	1634988048.6768
0	0	-6	3	0	-1	64	68	268	230	13	974.75	52	-17	-16	-922	1634988048.77552
0	-1	-6	2	0	-1	64	68	261	230	13	974.94	52	-19	-12	-907	1634988048.87539
-1	0	-6	2	0	0	64	68	275	240	13	974.8	52	-26	8	-1019	1634988048.9752
-8	0	-6	2	0	0	64	68	274	240	13	974.71	52	-11	-28	-955	1634988049.07761
-8	0	-6	4	0	0	64	68	281	240	13	974.66	52	-18	-35	-944	1634988049.18721
-8	0	-6	5	0	0	64	68	281	240	13	974.59	52	-7	-33	-929	1634988049.28507
-5	1	-6	6	0	0	64	68	278	240	13	974.76	53	-18	-33	-927	1634988049.38318
0	0	-6	7	0	0	64	68	275	240	13	974.73	53	-49	-23	-1008	1634988049.48615
1	1	-6	6	0	0	64	68	275	240	12	974.8	53	-28	-40	-1002	1634988049.58356
1	1	-6	5	0	0	64	68	281	240	12	974.86	53	-31	-39	-964	1634988049.69459
0	1	-6	4	0	0	65	68	277	240	12	974.72	53	-37	-45	-953	1634988049.78719
0	2	-6	3	0	0	65	68	276	240	12	974.69	53	-56	-18	-982	1634988049.90283
0	2	-6	2	0	0	65	68	269	240	12	974.78	53	-55	-25	-977	1634988049.99801
-2	2	-6	2	0	0	65	68	279	240	12	974.87	53	-22	-37	-992	1634988050.09736
-8	1	-7	3	0	1	65	68	282	240	12	974.83	53	-25	-65	-970	1634988050.20989
-8	0	-7	4	0	1	65	68	271	240	12	974.79	53	-40	-68	-962	1634988050.2579
-6	2	-7	6	-1	1	65	68	269	240	12	974.61	54	-63	-34	-1092	1634988050.34832
-1	2	-6	6	-1	1	65	68	262	240	12	974.62	54	-51	-64	-1058	1634988050.46487
0	3	-6	6	-1	1	65	68	263	240	12	974.65	54	-51	-19	-1041	1634988050.56152
0	3	-6	5	0	0	65	68	265	240	12	974.76	54	-38	-45	-926	1634988050.65965
1	1	-7	4	0	0	64	68	268	240	12	974.7	54	-30	-71	-959	1634988050.80741
0	1	-7	3	-1	1	64	68	258	230	12	974.61	54	-41	-66	-960	1634988050.90938
0	2	-7	3	-1	1	64	68	255	230	12	974.51	54	-22	-81	-997	1634988050.97527
0	3	-7	2	-1	1	64	68	254	230	12	974.53	54	-47	-54	-1092	1634988051.07186
-4	4	-7	3	-1	0	64	68	253	230	12	974.48	54	-21	-44	-984	1634988051.19073
-9	2	-7	4	-1	0	64	68	255	230	12	974.42	54	-29	-43	-1023	1634988051.27233
-8	1	-7	5	-1	0	64	68	245	230	12	974.38	55	-47	-29	-991	1634988051.36775
-8	1	-7	6	-1	0	64	68	243	230	12	974.31	55	-59	-31	-1082	1634988051.47677
-8	2	-7	7	-1	0	64	68	245	230	11	974.16	55	-74	-38	-1012	1634988051.57401
-7	3	-7	8	-1	0	64	68	246	230	11	974.26	55	-70	-23	-938	1634988051.68519
-3	2	-7	9	-1	0	65	67	241	230	11	974.32	55	-60	-49	-1023	1634988051.79128
0	2	-6	8	-1	0	65	67	236	230	11	974.35	55	-33	-67	-1007	1634988051.88958
0	2	-6	8	-1	0	65	67	232	230	11	974.46	55	-24	-54	-957	1634988051.98648
0	3	-6	7	-1	0	65	67	237	220	11	974.41	55	-18	-72	-904	1634988052.08948
0	2	-7	6	-1	0	65	67	231	220	11	974.3	55	-17	-65	-1025	1634988052.185
-7	2	-7	6	-1	0	65	67	235	220	11	974.37	55	-16	-47	-980	1634988052.29566
-7	3	-7	8	-2	0	65	67	226	220	11	974.33	56	-14	-71	-1007	1634988052.39513
-1	4	-7	9	-2	0	65	67	224	220	11	974.24	56	-41	-73	-956	1634988052.49227
2	4	-6	8	-1	0	65	67	223	220	11	974.35	56	-25	-59	-1077	1634988052.6018
2	3	-6	7	-1	0	65	67	222	210	11	974.11	56	-43	-74	-1044	1634988052.69606
1	3	-6	5	-1	0	64	67	221	210	11	974.01	56	-49	-49	-1075	1634988052.8124
0	4	-7	4	-1	0	64	67	219	210	11	973.93	56	-35	-42	-977	1634988052.90729
0	3	-7	4	0	0	64	67	212	200	11	973.96	56	-53	-5	-999	1634988053.00788
0	2	-7	4	0	0	64	67	214	200	11	974.06	56	-48	-24	-1011	1634988053.10317
0	1	-7	3	0	-1	64	67	209	200	11	974.1	56	-62	-26	-1013	1634988053.21435
-2	0	-7	3	0	-1	64	67	209	200	11	974.01	57	-64	-12	-1009	1634988053.31903
-9	0	-7	3	0	-1	64	67	214	200	11	974.06	57	-36	-20	-993	1634988053.41275
-9	0	-7	5	0	-1	64	67	213	200	11	974.1	57	-36	-7	-1005	1634988053.51173
-8	0	-7	6	0	-2	64	67	212	200	10	974.18	57	-61	-29	-1025	1634988053.62512
-8	0	-7	7	0	-1	64	67	214	200	10	974.06	57	-49	-55	-953	1634988053.73096
-8	1	-7	8	0	-1	64	68	212	200	10	973.88	57	-35	-62	-990	1634988053.82944
-5	2	-7	9	0	-2	64	68	211	210	10	973.98	57	-46	-28	-991	1634988053.92665
0	1	-7	9	0	-2	64	68	217	210	10	973.93	57	-74	-28	-1014	1634988054.02362
0	1	-7	8	0	-1	64	68	219	210	10	973.95	57	-48	-49	-964	1634988054.13608
1	1	-7	7	0	-1	64	68	219	210	10	974.07	57	-50	-35	-957	1634988054.22856
1	1	-7	6	0	-1	64	68	218	210	10	974.12	58	-44	-44	-1013	1634988054.3401
0	2	-7	6	0	-1	64	68	221	210	10	974.1	58	-70	-3	-1046	1634988054.43661
0	2	-7	5	0	-1	64	68	223	210	10	974.17	58	-52	-16	-1041	1634988054.54397
0	2	-7	5	0	-1	64	68	226	210	10	974.27	58	-32	-35	-1033	1634988054.6341
-2	1	-7	4	0	-1	64	68	229	210	10	974.24	58	-13	-32	-1051	1634988054.74581
-9	0	-6	5	0	-1	65	68	231	210	10	974.27	58	5	-32	-984	1634988054.83543
-9	1	-7	7	-1	-1	65	68	232	210	10	974.25	58	-25	-20	-1037	1634988054.94984
-8	1	-7	9	-1	-1	65	68	238	210	10	974.33	58	-18	-47	-1000	1634988055.04519
-4	2	-7	10	-1	-1	65	68	240	210	10	974.31	58	-31	-60	-1147	1634988055.14635
0	2	-7	10	-1	-1	65	68	240	210	10	974.37	58	-28	-21	-958	1634988055.2438
2	2	-7	9	0	-1	65	68	241	220	10	974.33	59	-38	-11	-1009	1634988055.39992
2	0	-6	7	0	-1	65	68	249	220	10	974.24	59	-39	-6	-996	1634988055.54621
1	1	-6	6	0	-1	65	68	246	220	10	974.39	59	-38	-9	-986	1634988055.56182
5	0	-6	6	0	-1	65	68	256	220	9	974.45	59	-11	-17	-985	1634988055.68894
9	0	-6	4	0	-1	65	68	255	220	9	974.45	59	12	-38	-1036	1634988055.70456
8	0	-6	3	0	-1	65	68	258	230	9	974.58	59	0	-3	-1003	1634988055.8562
8	-1	-6	1	-1	-1	65	68	258	230	9	974.59	59	4	-27	-980	1634988055.99264
8	0	-6	0	-1	0	65	68	263	230	9	974.63	59	10	-27	-967	1634988056.12654
8	0	-6	0	-1	0	65	68	265	230	9	974.68	59	11	-7	-976	1634988056.17679
8	0	-6	-1	-1	0	65	68	261	230	9	974.54	59	22	-23	-1105	1634988056.31066
8	0	-6	-2	-1	0	65	68	254	230	9	974.57	60	17	-32	-924	1634988056.32816
8	0	-6	-3	-1	0	65	68	262	230	9	974.68	60	0	-16	-1023	1634988056.45669
7	-1	-6	-4	-2	0	65	68	254	230	9	974.6	60	24	-49	-1003	1634988056.62149
8	0	-7	-5	-2	0	65	68	250	230	9	974.54	60	61	-67	-1027	1634988056.63476
8	3	-6	-5	-2	0	65	68	248	230	9	974.5	60	68	-60	-1054	1634988056.7279
7	3	-7	-6	-2	0	65	67	245	230	9	974.61	60	75	-36	-996	1634988056.83945
5	4	-7	-7	-1	0	65	67	240	230	9	974.55	60	52	8	-956	1634988056.93717
2	4	-8	-6	0	0	65	67	233	230	9	974.35	60	75	7	-943	1634988057.03593
1	2	-8	-6	0	0	65	67	229	230	9	974.44	60	66	24	-981	1634988057.14558
0	0	-8	-5	0	0	65	67	229	220	9	974.35	60	74	21	-976	1634988057.24309
