timestamp	pitch	roll	yaw	vgx	vgy	vgz	templ	temph	tof	h	bat	baro	time	agx	agy	agz
1634988489.11358
1634988489.11358
1634988489.259834	1.0	0.0	73.0	0.0	0.0	0.0	83.0	85.0	10.0	0.0	7.0	972.39	26.0	34.0	-11.0	-997.0
1634988489.356556	1.0	0.0	73.0	0.0	0.0	0.0	83.0	85.0	10.0	0.0	7.0	972.44	26.0	35.0	-11.0	-997.0
1634988489.471374	1.0	0.0	73.0	0.0	0.0	0.0	83.0	85.0	10.0	0.0	7.0	972.45	26.0	35.0	-13.0	-1000.0
1634988489.521212	1.0	0.0	73.0	0.0	0.0	0.0	83.0	85.0	10.0	0.0	7.0	972.47	26.0	37.0	-14.0	-997.0
1634988489.611873	1.0	0.0	73.0	0.0	0.0	0.0	83.0	85.0	10.0	0.0	7.0	972.48	26.0	35.0	-12.0	-1002.0
1634988489.722724	1.0	0.0	73.0	0.0	0.0	0.0	83.0	85.0	10.0	0.0	7.0	972.47	26.0	35.0	-12.0	-999.0
1634988489.819606	1.0	0.0	73.0	0.0	0.0	0.0	83.0	85.0	10.0	0.0	7.0	972.43	26.0	35.0	-12.0	-999.0
1634988489.918825	1.0	0.0	73.0	0.0	0.0	0.0	83.0	85.0	10.0	0.0	7.0	972.46	26.0	34.0	-12.0	-999.0
1634988490.023448	1.0	0.0	73.0	0.0	0.0	0.0	83.0	85.0	10.0	0.0	7.0	972.39	26.0	33.0	-11.0	-1000.0
1634988490.134186	1.0	0.0	73.0	0.0	0.0	0.0	83.0	85.0	10.0	0.0	7.0	972.43	26.0	35.0	-11.0	-999.0
1634988490.230789	1.0	0.0	73.0	0.0	0.0	0.0	83.0	85.0	10.0	0.0	7.0	972.43	26.0	35.0	-13.0	-999.0
1634988490.327643	1.0	0.0	73.0	0.0	0.0	0.0	83.0	85.0	10.0	0.0	7.0	972.44	26.0	35.0	-13.0	-999.0
1634988490.427022	1.0	0.0	73.0	0.0	0.0	0.0	83.0	85.0	10.0	0.0	7.0	972.43	26.0	34.0	-12.0	-1000.0
1634988490.537505	1.0	0.0	73.0	0.0	0.0	0.0	83.0	85.0	10.0	0.0	7.0	972.44	26.0	34.0	-11.0	-999.0
1634988490.642201	1.0	0.0	73.0	0.0	0.0	0.0	83.0	85.0	10.0	0.0	7.0	972.44	26.0	34.0	-13.0	-1000.0
1634988490.737722	1.0	0.0	73.0	0.0	0.0	0.0	83.0	85.0	10.0	0.0	7.0	972.49	26.0	36.0	-13.0	-1000.0
1634988490.83677	1.0	0.0	73.0	0.0	0.0	0.0	83.0	85.0	10.0	0.0	7.0	972.42	26.0	36.0	-13.0	-1000.0
1634988490.947754	1.0	0.0	73.0	0.0	0.0	0.0	83.0	85.0	10.0	0.0	7.0	972.43	26.0	36.0	-11.0	-997.0
1634988491.047272	1.0	0.0	73.0	0.0	0.0	0.0	83.0	85.0	10.0	0.0	7.0	972.48	26.0	35.0	-11.0	-1000.0
1634988491.153898	1.0	0.0	73.0	0.0	0.0	0.0	82.0	86.0	10.0	0.0	7.0	972.45	26.0	35.0	-12.0	-998.0
1634988491.255719	1.0	0.0	73.0	0.0	0.0	0.0	82.0	86.0	10.0	0.0	7.0	972.46	26.0	36.0	-14.0	-997.0
