timestamp	pitch	roll	yaw	vgx	vgy	vgz	templ	temph	tof	h	bat	baro	time	agx	agy	agz
1634974374.377638
1634974374.472922	0.0	1.0	0.0	0.0	0.0	0.0	48.0	52.0	10.0	0.0	50.0	951.31	0.0	-4.0	-30.0	-1001.0
1634974374.586605	0.0	1.0	0.0	0.0	0.0	0.0	48.0	52.0	10.0	0.0	50.0	951.3	0.0	0.0	-31.0	-994.0
1634974374.688741	0.0	1.0	0.0	0.0	0.0	0.0	48.0	52.0	10.0	0.0	50.0	951.3	0.0	-5.0	-30.0	-996.0
1634974374.787752	0.0	1.0	0.0	0.0	0.0	0.0	48.0	52.0	10.0	0.0	50.0	951.3	0.0	6.0	-18.0	-996.0
1634974374.886702	-1.0	2.0	0.0	0.0	0.0	0.0	48.0	52.0	10.0	0.0	50.0	951.3	0.0	-5.0	-27.0	-1000.0
1634974374.98231	-1.0	2.0	0.0	0.0	0.0	0.0	48.0	52.0	10.0	0.0	50.0	951.3	0.0	-9.0	-24.0	-997.0
1634974375.091363	-1.0	1.0	0.0	0.0	0.0	0.0	48.0	52.0	10.0	0.0	50.0	951.3	0.0	28.0	-18.0	-1037.0
1634974375.189877	-1.0	0.0	0.0	0.0	0.0	-1.0	48.0	52.0	26.0	0.0	50.0	951.3	0.0	2.0	0.0	-1155.0
1634974375.289687	1.0	-1.0	0.0	1.0	0.0	-3.0	48.0	52.0	25.0	0.0	50.0	951.3	0.0	33.0	-4.0	-1264.0
1634974375.402538	3.0	-1.0	0.0	0.0	0.0	-5.0	48.0	52.0	25.0	0.0	50.0	951.44	0.0	-12.0	23.0	-1140.0
1634974375.443406	2.0	-1.0	0.0	0.0	0.0	-6.0	48.0	52.0	25.0	10.0	50.0	951.58	1.0	25.0	16.0	-1057.0
1634974375.544078	1.0	-1.0	0.0	0.0	0.0	-7.0	48.0	52.0	25.0	10.0	50.0	951.76	1.0	53.0	1.0	-999.0
1634974375.656654	1.0	-1.0	0.0	0.0	0.0	-7.0	48.0	52.0	32.0	20.0	50.0	951.81	1.0	23.0	3.0	-986.0
1634974375.749087	1.0	0.0	0.0	0.0	0.0	-6.0	48.0	52.0	36.0	30.0	50.0	951.91	1.0	15.0	13.0	-961.0
1634974375.860311	1.0	0.0	0.0	0.0	0.0	-6.0	48.0	52.0	44.0	40.0	50.0	951.92	1.0	20.0	-2.0	-943.0
1634974375.956141	1.0	0.0	0.0	0.0	0.0	-5.0	48.0	52.0	50.0	40.0	50.0	952.04	1.0	18.0	6.0	-935.0
1634974376.064542	0.0	0.0	0.0	0.0	0.0	-4.0	48.0	52.0	55.0	50.0	50.0	952.04	1.0	8.0	9.0	-911.0
1634974376.159159	0.0	0.0	0.0	0.0	0.0	-3.0	48.0	52.0	59.0	50.0	50.0	952.1	1.0	2.0	13.0	-926.0
1634974376.261056	0.0	0.0	0.0	0.0	0.0	-3.0	48.0	52.0	63.0	60.0	50.0	952.16	1.0	8.0	7.0	-930.0
1634974376.371667	0.0	0.0	0.0	0.0	0.0	-2.0	48.0	52.0	70.0	60.0	50.0	952.15	1.0	10.0	15.0	-941.0
1634974376.466561	0.0	0.0	0.0	0.0	0.0	-2.0	48.0	52.0	72.0	60.0	50.0	952.16	2.0	29.0	1.0	-918.0
